Name,Country,Link,Probably
Deing,"Flores, Indonesia",Deing-NS.htm,dein1238
Drubea (Dumea),New Caledonia,Dumbea.htm,dumb1241
Duhumbi (Chukpa),India,Chukpa-Duhumbi.htm,chug1252
Duungooma,Mali,Duungooma.htm,duun1242
East Makian (Taba),Indonesia,Makian-East.htm,east2440
Eastern Bontok,"Luzon, Philippines",Bontok-Eastern.htm,bont1247
Eastern Tamang,Nepal,Tamang-Eastern.htm,east2347
Eravallan,India,Eravallan.htm,erav1242
Etulo,Nigeria,Etulo.htm,etul1245
Fanamaket,Papua New Guinea,Fanamaket.htm,make1251
Fataleka,Solomon Islands,Fataleka.htm,fata1245
Fer,Central Afr. Republic,Fer.htm,fero1244
Fio,Cameroun,Fio.htm,fioo1234
Fwâi,New Caledonia,Fwai.htm,fwai1237
Gerai,Indonesia,Gerai-Semandang.htm,gera1241
Ghari,Solomon Islands,Ghari.htm,ghar1239
Gitua,Papua New Guinea,Gitua.htm,gitu1237
Guanyinge Tuhua,China,Chinese-Guanyinge.htm,ping1245
Guanyinge Tuhua,China,Guanyinge Tuhua.htm,ping1245
Guizhou Yi,China,Yi-Guizhou.htm,wusa1235
Gweda,Papua New Guinea,Gweda.htm,gwed1239
Halia,Papua New Guinea,Halia.htm,hali1244
Hassaniyya,"Mauritanian, Algeria",Hassaniyya.htm,hass1238
Haya,Tanzania,Haya.htm,haya1250
Hezhou Bendihua,China,Chinese-Hezhouhua.htm,hezh1244
Huastec,Mexico,Huastec-San-Luís-Potosí.htm,huas1242
Icheve,Nigeria,Icheve.htm,iche1238
Isthmus Zapotec,Mexico,Zapotec-Isthmus-Juchitan.htm,isth1244
Jamska,Sweden,Jamska.htm,jamt1238
Jawe,New Caledonia,Jawe.htm,jawe1237
Jeraja (Para Naga),Myanmar,Naga-Para-Jejara.htm,para1302
Jiudouhua,China,Chinese-Jiudou.htm,nort3268
Judeo-Tat,"Azerbaijan, Russia",Tati-Judeo.htm,jude1256
Kaera,"Flores, Indonesia",Kaera.htm,kaer1234
Kairiru,Papua New Guinea,Kairiru.htm,kair1263
Kelabit (North dialect),Malaysia,Kelabit.htm,kela1258
Kelabit (North dialect),Malaysia,Kelabit.htm,kela1258
Kelabit (North dialect),Malaysia,Kelabit.htm,kela1258
Khaasili,CAR,Khaasili.htm,ukhw1241
(ki)Manda,Tanzania,Manda-Bantu.htm,mand1421
Kis,Papua New Guinea,Kis.htm,kiss1246
Kizeela,Democratic Republic of Congo,Kizeela.htm,
Kizeela,Democratic Republic of Congo,Kizeela.htm,
Ko'ho (Sre),Vietnam,Koho.htm,koho1244
Kokota,Solomon Islands,Kokota.htm,koko1269
Korbong,India,Korbong.htm,rang1267
Koro,India,Koro-India.htm,koro1316
Korúbo,Brazil,Korubo.htm,koru1247
Krahô,Brazil,Kraho.htm,krah1246
Kulisusu,"Sulawesi, Indonesia",Kulisusu.htm,kuli1254
Kundal Shahi,Pakistan,Kundal Shahi.htm,kund1257
Kundal Shahi,Pakistan,Kundal-Shahi.htm,kund1257
Kurudu,"Papua, Indonesia",Kurudu.htm,kuru1305
Kurudu,"Papua, Indonesia",Kurudu.htm,kuru1305
Kwadacha Tsek’ene,"Sekani, Canada",Sekani.htm,seka1250
Kwaio,Solomon Islands,Kwaio.htm,kwai1243
Kwaio,Solomon Islands,Kwaio.htm,kwai1243
Kwazá (Koaia ́),Brazil,Kwaza.htm,kwaz1243
Labu,Papua New Guinea,Labu.htm,labu1248
Lamalera,Indonesia,Lamalera.htm,lama1278
Ledo Kaili,"Sulawesi, Indonesia",Kaili-Ledo.htm,ledo1238
Leinong Naga,Myanmar,Naga-Leinong.htm,lein1237
Lemi,Myanmar,Chin-Lemi.htm,east2779
Lingui Pinghua,China,Chinese-Pinghua-Lingui.htm,
Lishán Didán,Israel,Lishan-Didan.htm,lish1246
Lizu,China,Lizu.htm,lizu1234
Lopit,South Sudan,Lopit.htm,lopi1242
Lusi (Kaliai),Papua New Guinea,Lusi.htm,lusi1240
Luyia (Saamia),"Kenya, Uganda",Luyia-Saamia.htm,luyi1234
Luyia (Saamia),"Kenya, Uganda",Luyia-Saamia.htm,luyi1234
Mag-Indi Ayta,Philippines,Ayta-Indi Ayta.htm,magi1241
Makuri Naga,Myanmar,Naga-Makuri.htm,maku1273
MalakMalak,Australia,Mullukmulluk.htm,mull1237
Maleu-Kilenge,Papua New Guinea,Maleu-Kilenge.htm,male1289
Malo (Tamambo),Vanuatu,Malo-Tamambo.htm,malo1243
Malo (Tamambo),Vanuatu,Malo-Tamambo.htm,malo1243
Manam,Papua New Guinea,Manam.htm,mana1295
Manggarai,"Flores, Indonesia",Manggarai.htm,mang1405
Manggarai,"Flores, Indonesia",Manggarai.htm,mang1405
Manggarai,"Flores, Indonesia",Manggarai.htm,mang1405
Mannan,India,Mannan.htm,mann1246
Mayo,Mexico,Mayo.htm,mayo1264
Mazatlán Mazatec,Mexico,Mazatec-Mazatlan.htm,maza1296
Mbowe,Zambia,Mbowe.htm,mbow1246
Me'ang,China,me'ang.htm,mant1265
Mewari,India,Mewari.htm,mewa1249
Miahuatec Zapotec,Mexico,Zapotec-Loxicha-Miahuatec.htm,loxi1235
Miji (Dammai Sajalong),India,Miji.htm,saja1240
Miji (Dammai Sajalong),India,Miji.htm,saja1240
Miqie (Micha Miqi dialect,China,Yi-Miqie-Micha.htm,miqi1235
Miqie (Micha Miqi dialect,China,Yi-Miqie-Micha.htm,miqi1235
Mombo Dogon,Mali,Dogon-Mombo.htm,momb1254
Momogun Rungus,"Sabah, Malaysia",Rungus.htm,rung1259
Moni,"Papua, Indonesia",Moni-Papua.htm,moni1261
Moxi,China,Moxi.htm,biao1255
Mundang,"Chad, Cameroun",Mundang.htm,mund1325
Mundang,"Chad, Cameroun",Mundang.htm,mund1325
Nahali (Nihali),India,Nahali.htm,niha1238
Nahali (Nihali),India,Nahali.htm,niha1238
Najamba-Kindige,Mali,Dogon-Najamba-Kindige.htm,bond1248
Nandi (Kalenjin),Kenya,Nandi.htm,nand1266
Nanga Dogon,Mali,Dogon-Nanga.htm,nang1261
Nanning Pinghua,China,Chinese-Pinghua-Nanning.htm,nann1239
Nata,Tanzania,Nata-TZ.htm,ikom1245
Nauna,Papua New Guinea,Nauna.htm,naun1237
Ndazi,DR of the Congo,Ndazi.htm,
Nduɡa,Indonesia,Nduga.htm,ndug1245
Neapolitan,Italy,Neapolitan.htm,neap1235
Neku,New Caledonia,Neku.htm,neku1237
Nemi,New Caledonia,Nemi.htm,nemi1240
Nese,Vanuatu,Nese.htm,nese1235
Ngeq,Laos,Ngeq.htm,ngeq1245
Nisa,East Timor,Nisa-Timor.htm,
Niuean,Tonga,Niuean.htm,niue1239
Nonuya,"Colombia, Peru",Nonuya.htm,nonu1241
North Tanna,Vanuatu,Tanna-North.htm,nort2847
North Watut,Papua New Guinea,Watut-North-Unank.htm,nort2857
Northern Pwo Karen,Thailand,Karen-Northern-Pwo.htm,nort2704
