ID,Name,Concepticon_ID,Concepticon_Gloss
1,1,,
21,21,,
2,2,,
22,22,,
3,3,,
23,23,,
4,4,,
24,24,,
5,5,,
25,25,,
6,6,,
26,26,,
7,7,,
27,27,,
8,8,,
28,28,,
9,9,,
29,29,,
10,10,,
30,30,,
11,11,,
40,40,,
12,12,,
50,50,,
13,13,,
60,60,,
14,14,,
70,70,,
15,15,,
80,80,,
16,16,,
90,90,,
17,17,,
100,100,,
18,18,,
200,200,,
19,19,,
1000,1000,,
20,20,,
2000,2000,,
400,400,,
1000000,1000000,,
5000,5000,,
36,36,,
216,216,,
1296,1296,,
7776,7776,,
46656,46656,,
300,300,,
800,800,,
99,99,,
100000,100000,,
32,32,,
43,43,,
31,31,,
33,33,,
34,34,,
35,35,,
44,44,,
55,55,,
500,500,,
900,900,,
120,120,,
600,600,,
110,110,,
4000,4000,,
7000,7000,,
9000,9000,,
37,37,,
38,38,,
39,39,,
45,45,,
700,700,,
91,91,,
3000,3000,,
201,201,,
1221,1221,,
140,140,,
160,160,,
180,180,,
10000,10000,,
47,47,,
58,58,,
69,69,,
101,101,,
123,123,,
1001,1001,,
3874,3874,,
144,144,,
53,53,,
63,63,,
73,73,,
83,83,,
399,399,,
133,133,,
48,48,,
72,72,,
96,96,,
41,41,,
42,42,,
46,46,,
49,49,,
51,51,,
76,76,,
52,52,,
77,77,,
78,78,,
54,54,,
79,79,,
56,56,,
81,81,,
57,57,,
82,82,,
59,59,,
84,84,,
85,85,,
61,61,,
86,86,,
62,62,,
87,87,,
88,88,,
64,64,,
89,89,,
65,65,,
66,66,,
67,67,,
92,92,,
68,68,,
93,93,,
94,94,,
95,95,,
71,71,,
97,97,,
98,98,,
74,74,,
75,75,,
